Year,Loan Balance,Interest,Principal Paid,Net P&L (after interest),Net Cashflow,Cum Cashflow
1,2600.0,182.00000000000003,493.1200000000001,233.1200000000001,0.0,0.0
2,2106.88,147.48160000000001,527.6384,267.6384000000001,0.0,0.0
3,1579.2416,110.54691200000002,564.5730880000001,304.5730880000001,0.0,0.0
4,1014.668512,71.02679584,604.0932041600001,344.09320416000014,0.0,0.0
5,410.5753078399998,28.740271548799992,410.5753078399998,386.37972845120015,235.80442061120033,235.80442061120033
6,0.0,0.0,0.0,415.1200000000001,675.1200000000001,910.9244206112005
7,0.0,0.0,0.0,415.1200000000001,675.1200000000001,1586.0444206112006
8,0.0,0.0,0.0,415.1200000000001,675.1200000000001,2261.1644206112005
9,0.0,0.0,0.0,415.1200000000001,675.1200000000001,2936.2844206112004
10,0.0,0.0,0.0,415.1200000000001,675.1200000000001,3611.4044206112003
