Year,Revenue,COGS (wholesale),Gross Profit,OpEx,EBITDA,Depreciation,EBIT,Interest,EBT,Tax (25%),Net Income,Operating CF,Investing CF,Principal Paid,Financing CF,Free Cash,Cum Cash,Battery NBV,Total Assets,Loan Balance,Retained Earnings,Total Equity,BS Check
1,1243.25245,305.8838016,937.3686484,105,832.3686484,260.0,572.3686484,182.00000000000003,390.3686484,97.5921621,292.7764863,552.7764863,0,552.7764863,-552.7764863,0.0,0.0,2340.0,2340.0,2047.2235137,292.7764863,292.7764863,0.0
2,1243.25245,305.8838016,937.3686484,105,832.3686484,260.0,572.3686484,143.305645959,429.063002441,107.26575061025,321.79725183075,581.7972518307499,0,581.7972518307499,-581.7972518307499,0.0,0.0,2080.0,2080.0,1465.42626186925,614.5737381307499,614.5737381307499,0.0
3,1243.25245,305.8838016,937.3686484,105,832.3686484,260.0,572.3686484,102.57983833084752,469.7888100691525,117.44720251728812,352.34160755186434,612.3416075518644,0,612.3416075518644,-612.3416075518644,0.0,0.0,1820.0,1820.0,853.0846543173857,966.9153456826143,966.9153456826143,0.0
4,1243.25245,305.8838016,937.3686484,105,832.3686484,260.0,572.3686484,59.715925802217,512.6527225977829,128.16318064944574,384.4895419483372,644.4895419483372,0,644.4895419483372,-644.4895419483372,0.0,0.0,1560.0,1560.0,208.59511236904848,1351.4048876309516,1351.4048876309516,0.0
5,1243.25245,305.8838016,937.3686484,105,832.3686484,260.0,572.3686484,14.601657865833396,557.7669905341666,139.44174763354164,418.3252429006249,678.325242900625,0,208.59511236904848,-208.59511236904848,469.7301305315765,469.7301305315765,1300.0,1769.7301305315764,0.0,1769.7301305315766,1769.7301305315766,-2.2737367544323206e-13
6,1243.25245,305.8838016,937.3686484,105,832.3686484,260.0,572.3686484,0.0,572.3686484,143.0921621,429.2764863,689.2764863,0,0.0,-0.0,689.2764863,1159.0066168315766,1040.0,2199.0066168315766,0.0,2199.0066168315766,2199.0066168315766,0.0
7,1243.25245,305.8838016,937.3686484,105,832.3686484,260.0,572.3686484,0.0,572.3686484,143.0921621,429.2764863,689.2764863,0,0.0,-0.0,689.2764863,1848.2831031315766,780.0,2628.2831031315764,0.0,2628.2831031315764,2628.2831031315764,0.0
8,1243.25245,305.8838016,937.3686484,105,832.3686484,260.0,572.3686484,0.0,572.3686484,143.0921621,429.2764863,689.2764863,0,0.0,-0.0,689.2764863,2537.5595894315766,520.0,3057.5595894315766,0.0,3057.5595894315766,3057.5595894315766,0.0
9,1243.25245,305.8838016,937.3686484,105,832.3686484,260.0,572.3686484,0.0,572.3686484,143.0921621,429.2764863,689.2764863,0,0.0,-0.0,689.2764863,3226.836075731577,260.0,3486.836075731577,0.0,3486.836075731577,3486.836075731577,0.0
10,1243.25245,305.8838016,937.3686484,105,832.3686484,260.0,572.3686484,0.0,572.3686484,143.0921621,429.2764863,689.2764863,0,0.0,-0.0,689.2764863,3916.112562031577,0.0,3916.112562031577,0.0,3916.112562031577,3916.112562031577,0.0
