Year,New Custs,Total Custs,EBITDA,EBIT,Interest,EBT,Tax,Net Income,Op CF,Principal,Free Cash,Cum Cash,Loan Balance,Cum Earnings
1,50,50,41618.43242,28618.432419999997,9100.0,19518.432419999997,4879.608104999999,14638.824314999998,27638.824314999998,27638.824314999998,0.0,0.0,102361.175685,14638.824314999998
2,100,150,124855.29725999999,85855.29725999999,25365.28229795,60490.01496204999,15122.503740512497,45367.51122153749,84367.51122153748,84367.51122153748,0.0,0.0,277993.66446346254,60006.33553653749
3,200,350,291329.02694,200329.02693999998,55859.556512442374,144469.4704275576,36117.3676068894,108352.1028206682,199352.1028206682,199352.1028206682,0.0,0.0,598641.5616427943,168358.43835720568
4,300,650,541039.6214599999,372039.62146,96504.9093149956,275534.7121450044,68883.6780362511,206651.03410875332,375651.0341087533,375651.0341087533,0.0,0.0,1002990.527534041,375009.472465959
5,400,1050,873987.08082,600987.08082,143009.33692738286,457977.7438926172,114494.4359731543,343483.3079194629,616483.3079194629,616483.3079194629,0.0,0.0,1426507.219614578,718492.7803854219
6,0,1050,873987.08082,600987.08082,99855.50537302047,501131.57544697955,125282.89386174489,375848.68158523465,648848.6815852346,648848.6815852346,0.0,0.0,777658.5380293435,1094341.4619706566
7,0,1050,873987.08082,600987.08082,54436.097662054046,546550.983157946,136637.7457894865,409913.2373684595,682913.2373684596,682913.2373684596,0.0,0.0,94745.30066088389,1504254.6993391162
8,0,1050,873987.08082,600987.08082,6632.171046261873,594354.9097737381,148588.72744343453,445766.1823303036,718766.1823303036,94745.30066088389,624020.8816694197,624020.8816694197,0.0,1950020.8816694198
9,0,1050,873987.08082,600987.08082,0.0,600987.08082,150246.770205,450740.310615,723740.3106150001,0.0,723740.3106150001,1347761.1922844197,0.0,2400761.1922844197
10,0,1050,873987.08082,600987.08082,0.0,600987.08082,150246.770205,450740.310615,723740.3106150001,0.0,723740.3106150001,2071501.5028994197,0.0,2851501.5028994195
11,0,1050,873987.08082,600987.08082,0.0,600987.08082,150246.770205,450740.310615,723740.3106150001,0.0,723740.3106150001,2795241.81351442,0.0,3302241.8135144194
12,0,1050,873987.08082,600987.08082,0.0,600987.08082,150246.770205,450740.310615,723740.3106150001,0.0,723740.3106150001,3518982.12412942,0.0,3752982.124129419
