nation,scenario,year,spread_gbp_mwh,scaling_factor,vpp_revenue_eur,vpp_profit_eur,vpp_8yr_roi,elec_revenue_eur,elec_profit_eur,elec_8yr_roi
Netherlands,Best,2026,69.0,0.945,334.08,324.08,548.2,260.3,250.3,400.6
Netherlands,Best,2027,66.2,0.907,320.67,310.67,521.3,249.85,239.85,379.7
Netherlands,Best,2028,64.6,0.885,312.61,302.61,505.2,243.57,233.57,367.1
Netherlands,Best,2029,64.0,0.877,309.77,299.77,499.5,241.36,231.36,362.7
Netherlands,Best,2030,64.0,0.877,309.9,299.9,499.8,241.46,231.46,362.9
Netherlands,Base,2026,67.3,0.922,325.86,315.86,531.7,253.89,243.89,387.8
Netherlands,Base,2027,64.0,0.876,309.62,299.62,499.2,241.24,231.24,362.5
Netherlands,Base,2028,61.6,0.844,298.26,288.26,476.5,232.39,222.39,344.8
Netherlands,Base,2029,60.2,0.825,291.5,281.5,463.0,227.12,217.12,334.2
Netherlands,Base,2030,59.5,0.815,288.04,278.04,456.1,224.43,214.43,328.9
Netherlands,Worst,2026,62.1,0.851,300.68,290.68,481.4,234.28,224.28,348.6
Netherlands,Worst,2027,57.2,0.783,276.66,266.66,433.3,215.56,205.56,311.1
Netherlands,Worst,2028,53.1,0.728,257.17,247.17,394.3,200.38,190.38,280.8
Netherlands,Worst,2029,49.9,0.684,241.68,231.68,363.4,188.31,178.31,256.6
Netherlands,Worst,2030,47.7,0.654,230.95,220.95,341.9,179.94,169.94,239.9
Germany,Best,2026,69.0,0.945,311.56,301.56,503.1,834.78,824.78,1549.6
Germany,Best,2027,66.2,0.907,299.05,289.05,478.1,801.27,791.27,1482.5
Germany,Best,2028,64.6,0.885,291.53,281.53,463.1,781.12,771.12,1442.2
Germany,Best,2029,64.0,0.877,288.89,278.89,457.8,774.04,764.04,1428.1
Germany,Best,2030,64.0,0.877,289.01,279.01,458.0,774.36,764.36,1428.7
Germany,Base,2026,67.3,0.922,303.89,293.89,487.8,814.23,804.23,1508.5
Germany,Base,2027,64.0,0.876,288.74,278.74,457.5,773.65,763.65,1427.3
Germany,Base,2028,61.6,0.844,278.15,268.15,436.3,745.27,735.27,1370.5
Germany,Base,2029,60.2,0.825,271.84,261.84,423.7,728.37,718.37,1336.7
Germany,Base,2030,59.5,0.815,268.62,258.62,417.2,719.74,709.74,1319.5
Germany,Worst,2026,62.1,0.851,280.41,270.41,440.8,751.33,741.33,1382.7
Germany,Worst,2027,57.2,0.783,258.01,248.01,396.0,691.29,681.29,1262.6
Germany,Worst,2028,53.1,0.728,239.83,229.83,359.7,642.6,632.6,1165.2
Germany,Worst,2029,49.9,0.684,225.39,215.39,330.8,603.9,593.9,1087.8
Germany,Worst,2030,47.7,0.654,215.37,205.37,310.7,577.07,567.07,1034.1
Spain,Best,2026,69.0,0.945,211.64,201.64,303.3,268.03,258.03,416.1
Spain,Best,2027,66.2,0.907,203.15,193.15,286.3,257.27,247.27,394.5
Spain,Best,2028,64.6,0.885,198.04,188.04,276.1,250.8,240.8,381.6
Spain,Best,2029,64.0,0.877,196.24,186.24,272.5,248.53,238.53,377.1
Spain,Best,2030,64.0,0.877,196.32,186.32,272.6,248.63,238.63,377.3
Spain,Base,2026,67.3,0.922,206.43,196.43,292.9,261.43,251.43,402.9
Spain,Base,2027,64.0,0.876,196.14,186.14,272.3,248.41,238.41,376.8
Spain,Base,2028,61.6,0.844,188.95,178.95,257.9,239.29,229.29,358.6
Spain,Base,2029,60.2,0.825,184.66,174.66,249.3,233.87,223.87,347.7
Spain,Base,2030,59.5,0.815,182.48,172.48,245.0,231.09,221.09,342.2
Spain,Worst,2026,62.1,0.851,190.48,180.48,261.0,241.24,231.24,362.5
Spain,Worst,2027,57.2,0.783,175.26,165.26,230.5,221.96,211.96,323.9
Spain,Worst,2028,53.1,0.728,162.92,152.92,205.8,206.33,196.33,292.7
Spain,Worst,2029,49.9,0.684,153.11,143.11,186.2,193.9,183.9,267.8
Spain,Worst,2030,47.7,0.654,146.3,136.3,172.6,185.29,175.29,250.6
UK,Best,2026,69.0,0.945,285.23,275.23,450.5,859.79,754.79,1409.6
UK,Best,2027,66.2,0.907,273.78,263.78,427.6,825.28,720.28,1340.6
UK,Best,2028,64.6,0.885,266.9,256.9,413.8,804.53,699.53,1299.1
UK,Best,2029,64.0,0.877,264.48,254.48,409.0,797.23,692.23,1284.5
UK,Best,2030,64.0,0.877,264.59,254.59,409.2,797.56,692.56,1285.1
UK,Base,2026,67.3,0.922,278.21,268.21,436.4,838.63,733.63,1367.3
UK,Base,2027,64.0,0.876,264.35,254.35,408.7,796.83,691.83,1283.7
UK,Base,2028,61.6,0.844,254.65,244.65,389.3,767.6,662.6,1225.2
UK,Base,2029,60.2,0.825,248.87,238.87,377.7,750.19,645.19,1190.4
UK,Base,2030,59.5,0.815,245.92,235.92,371.8,741.3,636.3,1172.6
UK,Worst,2026,62.1,0.851,256.72,246.72,393.4,773.84,668.84,1237.7
UK,Worst,2027,57.2,0.783,236.2,226.2,352.4,712.01,607.01,1114.0
UK,Worst,2028,53.1,0.728,219.57,209.57,319.1,661.85,556.85,1013.7
UK,Worst,2029,49.9,0.684,206.34,196.34,292.7,621.99,516.99,934.0
UK,Worst,2030,47.7,0.654,197.18,187.18,274.4,594.36,489.36,878.7
